generic_name,brand_name,drug_class,primary_fda_ind,other_fda_ind,available_strengths,moa,dosing_regimen,side_effects,boxed_warnings
Pregabalin,Lyrica®,Anticonvulsant,Neuropathic pain,"Seizures, postherpetic neuralgia, fibromyalgia","25, 50, 75, 100, 150, 200, 225, 300 mg",Presynaptic binding to the alpha2-delta subunit of voltage-gated calcium channels in the CNS modulates the release of several excitatory neurotransmitters.,75 mg PO BID or 50 mg PO TID,"Dizziness, somnolence, dry mouth, ataxia, confusion, asthenia, abnormal thinking, blurred vision, incoordination, weight gain, and peripheral edema",
Diclofenac Sodium (topical),Voltaren® Gel,Nonsteroidal Anti-inflammatory,Osteoarthritis,,1.%,"NSAID; Inhibition of COX, leading to decreased prostaglandins and thromboxanes.",Apply 2 g to affected area if UPPER extremity up to 4x/day; Apply 4 g to affected area if LOWER extremity up to 4x/day,"Pruritus, rash, site pain, and headache",
Warfarin Sodium (Crystalline),"Coumadin®, Jantoven®",Anticoagulant,"Pulmonary embolism, atrial fibrillation, venous thromboembolism",,"1, 2, 2.5, 3, 4, 5, 6, 7.5, 10 mg",Vitamin K antagonist; Decreases hepatic synthesis of vitamin K-dependent clotting factors.,2 to 10 mg PO daily or divided doses,"Unusual and unexpected bleeding, alopecia, dermatitis, fever, nausea, diarrhea, abdominal cramping, and urticaria",WARFARIN INCREASES THE RISK OF FATAL BLEEDING. PERFORM REGULAR MONITORING OF INR.
Pravastatin Sodium,Pravachol®,Antihyperlipidemic,Hypercholesterolemia,,"10, 20, 40, 80 mg","Statin; Selective, competitive inhibitor of HMG-CoA reductase to reduce LDL and increase HDL",10 to 20 mg PO once at bedtime,"Rash, muscle pain, headache, influenza, and dyspepsia",
Esomeprazole Magnesium,Nexium®,Gastric Antisecretory,Esophagitis,"GERD, gastric ulcers","20, 40 mg",Proton pump inhibitor; Suppresses the H+/K+ ATPase enzyme system at the secretory surface of the gastric parietal cell.,20 to 40 mg PO qday,"Headache, diarrhea or constipation, nausea, flatulence, abdominal pain, and dry mouth",
Celecoxib,Celebrex®,Nonsteroidal Anti-inflammatory,Osteoarthritis,Rheumatoid arthritis,"50, 100, 200, and 400 mg","NSAID; Selective inhibition of COX-2, leading to anti-inflammatory, analgesic, and antipyretic effects.",200 mg qday or 100 mg PO BID,"Diarrhea, dyspepsia, abdominal pain, flatulence, edema, and sinusitis","NSAIDS MAY CAUSE AN INCREASED RISK OF SERIOUS CARDIOVASCULAR THROMBOTIC EVENTS, MYOCARDIAL INFARCTION, AND STROKE. NSAIDS HAVE BEEN INVOLVED IN RARE CASES OF GI BLEEDING INCIDENTS."
Folic Acid,Folic Acid,Vitamin,Folic Acid deficiency seen in anemias.,,1 mg,Supplements folic acid.,1 mg PO qday,Allergic reactions,
Fluticasone Propionate with Salmeterol Xinafoate (Inhalation),Advair®,Antiasthmatic / COPD Agent,Asthma and COPD,,250/50 mcg,Inhaled corticosteroid has anti-inflammatory/antiallergy effects. Salmeterol relaxes bronchial smooth muscle through beta-2-adrenergic agonism.,Diskus: One inhalation PO daily. Advair HFA: Two inhalation PO BID.,"Upper respiratory tract infection, pharyngitis, headache, nausea or vomiting, sinusitis, bronchitis, cough, rash, and angioedema",
Propranolol Hydrochloride,"Inderal® (LA), Innopran® XL",Antihypertensive,Hypertension,"Arrhythmias, migraines, angina","10, 20, 40, 60, 80 mg. LA/XL: 60, 80, 120, 160 mg",Beta Blocker; Non-selective blockage of beta-adrenergic receptors leads to reduced HR and cardiac output.,Tabs: 80 mg PO qday in 1 to 4 divided doses.,"Dizziness, fatigue, lightheadedness, nausea, vomiting, bronchospasm, bradycardia, and peripheral vascular insufficiency",
Semaglutide,Ozempic®,Antidiabetic,Diabetes,,"2 mg/1.5 mL, 4mg/3 mL, 8 mg/3 mL",GLP-1 analogue activation leads to insulin secretion and decreased glucose secretion.,"Start with 0.25 mg SQ qweekly, titrate to 1 mg-2 mg SQ qweekly","Nausea, vomiting, diarrhea, abdominal pain, constipation, thyroid C-cell tumors, pancreatitis, and diabetic retinopathy",Risk of thyroid C-cell tumors
Amoxicillin Trihydrate,"Amoxil®, Moxatag®, Trimox®",Antibiotic,"Infections due to the following gram-negative organisms: H. influenzae, E.coli, P. mirabilis, N.gonorrhoeae) and gram-positive organisms: streptococci, nonpenicillinase-producing staphylococci, D.pneumoniae",,"250,500, 875mg",Broad-spectrum penicillin which inhibits bacterial wall synthesis via acylation of transpeptidase enzyme,250-500mg po q8h; 500-875mg po q12h,"Nausea, vomiting, DIARRHEA, hives, itching, and RASH",
Tizanidine Hydrochloride,Zanaflex®,Muscle Relaxant,Muscle spasms,,"2, 4 mg",Alpha-2-adrenergic agonist; Reduces spasticity by increasing presynaptic inhibition of neurons.,4 mg PO q 6-8 hrs.,"Dry mouth, drowsiness, asthenia, bradycardia, hypotension, and dizziness",
Atenolol,Tenormin®,Antihypertensive,Hypertension. Angina,,"25, 50, and 100 mg",Beta Blocker; Cardioselective Beta-1-adrenergic blockage decreases HR and cardiac output.,50-100 mg PO qday,"Dizziness, fatigue, drowsiness, nausea, bradycardia, and hypotension",Cessation of therapy: Advise patients with coronary artery disease who are being treated with atenolol against abrupt discontinuation of therapy
Morphine Sulfate (extended release),MS Contin®,Opioid Analgesic,Pain,,"15, 30, 60, 100, and 200 mg",Produces central analgesia via action on the central opiate receptors,15-400 mg daily in a single (capsule) or divided (tablet) dose,"Constipation, lightheadedness, dizziness, sedation, nausea, vomiting, sweating, dysphoria and euphoria","OPIOIDS CAN BE ADDICTIVE, ABUSED, AND MISUSED, WHICH CAN LEAD TO OVERDOSE AND DEATH. SERIOUS, LIFE-THREATENING RESPIRATORY DEPRESSION MAY OCCUR. ACCIDENTAL EXPOSURE CAN BE FATAL, ESPECIALLY IN CHILDREN. USE IN PREGNANCY CAN CAUSE NEONATAL WITHDRAWAL SYNDROME. CONCOMITANT USE WITH BENZODIAZEPINES, ALCOHOL, OR OTHER CNS DEPRESSANTS CAN RESULT IN RESPIRATORY DEPRESSION, COMA, AND DEATH."
Rivaroxaban,Xarelto®,Anticoagulant,Stroke risk reduction in Atrial Fibrillation. DVT and PE,,"10, 15, and 20 mg",DOAC; Selective inhibitor of Factor Xa reduces thrombin formation.,20 mg PO daily with food,Bleeding events,
Latanoprost,Xalatan®,Glaucoma Agent,Glaucoma,,0.005%,Selective FP receptor agonism reduces intraocular pressure.,One drop in affected eye(s) once daily in the evening.,"Blurred vision, burning/stinging, foreign body sensation, itching, and increased pigmentation of the iris",
Sitagliptin Phosphate,Januvia®,Antidiabetic,Diabetes,,"25, 50, 100 mg",Dipeptidyl peptidase-4 (DDP-4) enzyme inhibitor,100mg tab PO QD,Nasopharyngitis,
Topiramate,"Topamax®, Trokendi Xr",Anticonvulsant,Seizure prophylaxis,,"15, 25 mg sprinkle IR; 25, 50, 100, 200 mg tab IR; 25, 50, 100, 200 mg caps XR",action potential depolarization inhibitor,Initial 25-50 mg PO QD titrated to 200 to 400 mg/d,"Fatigue, nervousness, difficulty with concentration, confusion, depression, anorexia, weight decrease, somnolence, dizziness, ataxia, speech difficulties, psychomotor, slowing, abnormal vision, difficulty with memory, paresthesia and diplopia",
Finasteride,Proscar®,BPH Agent,Benign prostatic hyperplasia,,"1, 5 mg",5-alpha-reductase inhibitor,5 mg tab po QD,"Depression, erectile dysfunction, decreased libido, and male infertility",
Hydroxyzine Hydrochloride,Atarax®,Antiallergy/Antianxiety Agent,Anxiety,Allergies,"10, 25, 50mg",Antagonize H1 (histamine) receptor,25mg po TID-QID,Drowsiness and dry mouth,
Amitriptyline Hydrochloride,Elavil®,Antidepressant,Depression,,"10, 25, 50, 75, 100, 150mg",Tricyclic antidepressant; inhibits membrane pump responsible for reuptake of norepinephrine and serotonin,40-150mg po qdaily in divided doses or at bedtime,"Tachycardia, dry mouth, blurred vision, nausea, vomiting, dizziness, weakness, headache, constipation, urinary retention, drowsiness, and weight gain","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Fluconazole,Diflucan®,Antifungal,Vaginal Candidiasis,,"50, 100, 150, 200 mg",sterol inhibitor,150mg tab PO,"Nausea, headache, abdominal pain, diarrhea, dizziness, dyspepsia, and taste perversion",
Alendronate Sodium,Fosamax®,Osteoporosis Agent,Osteoporosis,,"5, 10, 35, 40, 70mg ; 70mg with Vitamin D 2800 IU",inhibits osteoclast activity,10mg po qdaily; 70mg po qweekly,"Abdominal pain, constipation, diarrhea, flatulence, and musculoskeletal pain",
Sulfamethoxazole with Trimethoprim,"Bactrim®, Septra®",Antibiotic,Infection (with MRSA coverage),,"80/400, 160/800 mg",Dihydrofolate reductase inhibitor,160/800mg tab PO Q12h for 10-14 days,"Increased sensitivity to sunlight, Stevens-Johnson syndrome, nausea, vomiting, diarrhea, dizziness, anorexia, and rash",
Triamcinolone Acetonide (topical),Kenalog®,"Anti-inflammatory",Dermatosis,,"0.025%, 0.05%, 0.1%, 0.5% Oint",Binding to glucocorticoid receptors,Apply thin layer to affected area two to four times a day,"Local burning, itching, and skin atrophy",
Tadalafil,Cialis®,Erectile Dysfunction Agent,Erectile Dysfunction,,"2.5, 5, 10, 20 mg",Release of nitric oxide,2.5 mg tab PO QD initially,"Headache, dyspepsia, back pain, flushing, nasal congestion, and myalgia",
Pioglitazone Hydrochloride,Actos®,Antidiabetic,Diabetes,,"15, 30, 45 mg",Decreases insulin resistance by improving target cell response to insulin,15 to 30 mg tab PO QD,"Upper respiratory tract infection, headache, sinusitis, myalgia, tooth disorder, aggravation of diabetes, and pharyngitis",CONTRAINDICATED IN PATIENTS WITH CONGESTIVE HEART FAILURE.
Baclofen,Lioresal®,Muscle Relaxant,Muscle spasms,,"10, 20 mg tabs",GABA Analogue,10 to 20mg tab PO TID to QID,"Drowsiness, dizziness, weakness, fatigue, confusion, headache, insomnia, nausea, constipation, and urinary frequency",
Clonidine Hydrochloride,"Catapres®, Nexiclon XR, and Kapvay",Antihypertensive/ADHD Agent,Hypertension,,"0.1, 0.2, 0.3 mg tabs",Stimulation of central alpha-2-adrenergic receptors,0.1 to 0.3mg tab PO BID,"Dry mouth, dry eyes, drowsiness, dizziness, headache, fatigue, edema, constipation, and impotence",
Diazepam,Valium®,Antianxiety Agent,Anxiety,Acute alcoholism,"2, 5, 10 mg tabs; 5mg/mL IM; 5mg/mL oral conc.; 2.5/0.5mL rectal gel",GABA inhibitor,2 to 10mg PO/IM/IV initially,"Drowsiness, ataxia, and fatigue","CONCOMITANT USE WITH OPIOIDS INCREASES THE RISK OF RESPIRATORY DEPRESSION, COMA, AND DEATH."
Semaglutide,Wegovy®,Weight Management,Weight-loss,,"0.25, 0.5, 1, 1.7, 2.4 mg pens",GLP-1 analogue activation leads to insulin secretion,Start with 0.25mg SQ weekly titrated to 2.4mg SQ weekly,"Nausea, vomiting, diarrhea, abdominal pain, constipation, headache, fatigue, dyspepsia, dizziness, and eructation",Risk of thyroid C-cell tumors
Testosterone,Androgel®,Hormone / Testosterone,Hormone replacement therapy,,"1% topical gel pump, 1% gel foil packets, 1.62% topical gel, 2% topical gel",Signals development of secondary sex characteristics,50mg applied once daily,"Increased PSA, emotional lability (anger, mood swings, aggression), hypertension, increased hematocrit or hemoglobin, contact dermatitis",SECONDARY EXPOSURE TO TESTOSTERONE HAS CAUSED VIRILIZATION IN CHILDREN.
Estradiol,"Vivelle-Dot®, Alora, Climara, Femring, Estring, Vagifem, Divigel, Estrace",Hormone / Estrogen,Vasomotor symptoms due to menopause,,"Vivelle/Alora/Climara:0.025, 0.0375, 0.05, 0.075, 0.1mg/d patch; Divigel: 0.25, 0.5, 1mg packet; Estrace: 0.5, 1, 2mg tab; Femring: 5, 10 mcg/24hr ring; Estring: 7.5mcg/24hr ring; Vagifem: 10 mcg suppository; Estrace Cream: 0.01%",Signals development of secondary sex characteristics,Estrace: 0.5 to 2mg Tab PO QD; Vivelle Dot/Alora: One patch twice weekly; Climara: One patch once weekly; Femring/Estring: Insert vaginally every 3 months; Vagifem/Estrace Cream: Insert vaginally once daily to once weekly; Divigel: one patch applied daily,"Irritation of application site, edema, thromboembolic disorders, breast tenderness, disturbances in menstruation, and depression","ESTROGEN-ALONE THERAPY INCREASES THE RISK OF STROKE, DEEP VEIN THROMBOSIS, ENDOMETRIAL CANCER, AND IN WOMEN OVER 65 YEARS OF AGE, PROBABLE DEMENTIA."
Glimepiride,Amaryl®,Antidiabetic,Diabetes,,"1, 2, and 4 mg",Stimulates insulin release from beta cells in pancreas,1-4mg tab PO QD,"Dizziness, asthenia, headache, and nausea",
Guanfacine Hydrochloride,Intuniv®,Antihypertensive/ADHD Agent,Hypertension,,"1 and 2 mg IR; 1, 2, 3, and 4mg ER",Stimulation of central alpha-2-adrenergic receptors,"1mg at bedtime, up to 3mg","Dry mouth, drowsiness, weakness, dizziness, constipation, headache, insomnia, and impotence",
Carbamazepine,"Tegretol® (XR), Carbatrol® ER, Equetro® ER",Anticonvulsant,Seizures,,"200mg tab; 100mg chewable; 100, 200, 400 mg XR tab; 100, 200, 300 mg XR cap",Blockade of post-tetanic potentiation,Initially 200 mg PO BID on day 1 then gradually increase by adding up to 200 mg per day in 3-4 divided doses,"Dizziness, unsteadiness, nausea, vomiting, and drowsiness",RARE REPORTS OF APLASTIC ANEMIA AND AGRANULOCYTOSIS HAVE BEEN REPORTED. PATIENTS OF ASIAN DESCENT SHOULD BE TESTED FOR HLA-B*1502 BECAUSE THESE PATIENTS ARE AT MUCH HIGHER RISK OF STEVENS-JOHNSON SYNDROME AND TOXIC EPIDERMAL NECROLYSIS.
Carbidopa with Levodopa,Sinemet® (CR),Antiparkinson Agent,Parkinson's Disease,,"10/100, 25/100, 25/250 mg; CR 25/100, 50/200 mg",Crosses Blood-brain-barrier and converts into dopamine,25/100mg TID and titrate based on efficacy/tolerability,"Dystonic or involuntary movements, depression, dementia, and nausea",
Nystatin Topical,Nystop®,"Antifungal",Fungal infection caused by Candida species,,"100,000 USP units per gram","Binds to sterols in cell membrane of susceptible Candida species, changing cell membrane permeability",Apply topically liberally to affected area BID to TID,"Burning, itching, rash, and pain on application",
Olanzapine,Zyprexa®,Antipsychotic,Manifestation of psychotic disorders,Schizophrenia; Acute mixed or manic episodes associated with bipolar I disorder; management of agitation associated with schizophrenia and bipolar I mania,"Tablets: 2.5 mg, 5 mg, 7.5 mg, 10 mg, 15 mg, 20 mg; ODT (ZYSIS): 5 mg, 15 mg",Antagonism of dopamine D2 receptor and serotonin 5HT2 receptor,10 mg-15 mg PO daily dose,"Somnolence, agitation, insomnia, nervousness, hostility, dizziness, rhinitis, anxiety, constipation, dry mouth, weight gain, joint pain, fever, postural hypotension, cough, akathisia, amblyopia, abdominal pain, back pain, chest pain, tachycardia, hypertonia, and tremor",CONTRAINDICATED IN PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS.
Azithromycin Dihydrate,Zithromax® & Zmax„¢,Antibiotic,Mild to moderate lower and upper respiratory tract infection,Community-acquired pneumonia,"250 mg, 500 mg, 600 mg",Binds to 50 S ribosomal subunit of bacteria suppressing protein synthesis,"500 mg PO QDay on Day 1, 250 mg PO QDay for 4 more days","Diarrhea, nausea, vomiting, and abdominal pain. Intravenous therapy may cause pain at the injection site and local inflammation",
Oxcarbazepine,Trileptal® and Oxtellar® XR,Anticonvulsant,Partial seizures for adults and children ages 4-16 yo,,"150 mg, 300 mg, 600 mg; XR: 150 mg, 300 mg, 600 mg","Blocks voltage-sensitive sodium channels, leading to stabilizing hyperexcited neural membranes, inhibition of repetitive neuronal firing, and diminution of propagation of synaptic impulses",300 mg PO BID,"Dizziness, somnolence, diplopia, fatigue, nausea, vomiting, ataxia, abnormal vision, abdominal pain, tremor, dyspepsia, and abnormal gait",
Diclofenac Sodium,Voltaren® (XR),Nonsteroidal Anti-inflammatory,Rheumatoid Arthritis,Osteoarthritis,"25 mg, 50 mg, 75 mg; XR: 100 mg","Unknown, may be due to reversible inhibition of COX-1 and COX-2 enzymes",50 mg TID to QID or 75 mg BID; XR: 100 mg QDay or BID,"Nausea, indigestion, diarrhea or constipation, cramping, headache, and fluid retention","NSAIDS MAY CAUSE AN INCREASED RISK OF SERIOUS CARDIOVASCULAR THROMBOTIC EVENTS, MYOCARDIAL INFARCTION, AND STROKE. NSAIDS HAVE BEEN INVOLVED IN RARE CASES OF GI BLEEDING INCIDENTS."
Amoxicillin with Clavulanate Potassium,Augmentin® (XR),Antibiotic,Sinusitis and otitis media,"Lower respiratory tract infection, skin and skin structure infections, urinary tract infections","400 mg/57 mg, 250 mg/125 mg, 500 mg/125 mg, 875 mg/125 mg, 1000 mg/62.5 mg","Amoxicillin inhibits bacterial cell wall, Clavulanic acid binds competitively to active sites of beta-lactamase enzyme",One 500 mg/125 mg tablet PO Q8H or one 875 mg/125 mg tablet PO Q12H,"Nausea, vomiting, diarrhea, hives, itching, and rash",
Lithium Carbonate,"Lithonate®, Lithotabs®, Lithobid®",Antimanic Agent,Manic episodes or manic depressive illness (Bipolar Disorder),,"300 mg; SR: 300 mg, 450 mg","Unknown, may be due to antagonism of release of norepinephrine and dopamine from nerve terminals",300 mg PO TID to QID,"Hand tremor, nausea, and mild thirst",LITHIUM TOXICITY IS CLOSELY RELATED TO SERUM LITHIUM LEVELS.
Valacyclovir Hydrochloride,Valtrex®,Antiviral,Genital Herpes,Herpes zoster (shingles),"500 mg, 1000 mg",Converted to acyclovir by first-pass intestinal and/or hepatic metabolism,1 g PO BID for 10 days,"Nausea, vomiting, headache, and abdominal pain",
Pramipexole Dihydrochloride,Mirapex®,Antiparkinson Agent,Parkinson's disease,,"0.125 mg, 0.25 mg, 0.5 mg, 0.75 mg, 1.0 mg, 1.5 mg",Nonergot dopamine receptor agonist with high affinity to D3 dopamine receptors than D2 and D1 receptors,0.75 mg PO QDay to 4.5 mg PO QDay,"Dizziness, somnolence, asthenia, nausea, constipation, insomnia, and hallucinations",
Insulin Degludec,Tresiba®,Antidiabetic,Diabetes mellitus,,100 units/mL,Insulin promotes transport of glucose across cell membranes and facilitates transformation of amino acids into proteins,Doses must be individualized. Patients with T2DM who have not used insulin before: 10 units SQ per day,"Injection site reactions, lipodystrophy, weight gain, edema, nasopharyngitis, headache, upper respiratory tract infections, and diarrhea",
Eszopiclone,Lunesta®,Sedative,Insomnia,,"1 mg, 2 mg, 3 mg","Unknown, may act at GABA-receptor complexes at binding sites located near or coupled to benzodiazepine receptors",Non-elderly: 2 mg PO immediately before bedtime; Elderly: 1 mg PO immediately before bedtime,"Drowsiness, headache, unpleasant taste sensation, dry mouth, anxiety, depression, dysmenorrhea, gynecomastia, and infection","RARE BUT SERIOUS INJURIES HAVE OCCURRED DUE TO ABNORMAL SLEEP BEHAVIORS, INCLUDING SLEEPWALKING, SLEEP DRIVING, AND ENGAGING IN OTHER ACTIVITIES WHEN NOT FULLY AWAKE."
Tolterodine Tartrate,Detrol® (LA),Urinary Bladder Modifier,Overactive bladder,,"1 mg, 2 mg; LA (extended release capsules): 2 mg, 4 mg",Competitive muscarinic receptor antagonist,LA capsule: 4 mg PO QDay; Tablet: 2 mg PO BID,"Dry mouth, headache, dizziness, constipation, dyspepsia, and somnolence",
Ezetimibe,Zetia®,Antihyperlipidemic,"Adjunct therapy for reduction of elevated total cholesterol, LDL-cholesterol, and ApoB in primary hypercholesterolemia (familial and nonfamilial)",,10 mg,"Acts at brush border of small intestine to inhibit cholesterol absorption therapy, decreasing cholesterol delivery to liver",10 mg PO QDay,"Myalgia, increased CPK, elevations in liver transaminases, hepatitis, thrombocytopenia, urticaria, arthralgia, and myopathy/rhabdomyolysis",
Mirabegron,Myrbetriq®,Urinary Bladder Modifier,Overactive bladder,,"25 mg, 50 mg",Beta-3 adrenergic agonist,Recommended starting dose: 25 mg PO QDay,"Hypertension, urinary tract infection, urinary retention, headache, nasopharyngitis, atrial fibrillation, angioedema, and prostate cancer",
Solifenacin Succinate,Vesicare®,Urinary Bladder Modifier,Overactive bladder,,"5 mg, 10 mg",Competitive muscarinic receptor antagonist,Recommended starting dose: 5 mg PO QDay,"Dry mouth, constipation, blurred vision, urinary tract infection, dyspepsia, nausea, abdominal pain, dizziness, fatigue, dry eyes, and drowsiness",
Budesonide and Formoterol Fumarate Dihydrate (Inhalation),Symbicort®,Antiasthmatic / COPD Agent,Asthma,,160 mcg/4.5 mcg,Budesonide: anti-inflammatory corticosteroid; Formoterol: long-acting selective beta-2-adrenergic agonist,2 inhalations BID,"Upper respiratory tract infection, nasopharyngitis, headache, vomiting, sinusitis, bronchitis, oral candidiasis, and nasal congestion",
Phenytoin Sodium (Extended),Dilantin® Kapseals®,Anticonvulsant,Tonic-clonic and psychomotor seizures and prevention and treatment of seizures occurring during or following neurosurgery,,"30 mg, 100 mg",Increases extrusion of sodium ions from neurons and cardiac myocytes,100 mg PO TID to 300 mg QDay,"Nystagmus, ataxia, slurred speech, mental confusion, nausea, vomiting, rash, hirsutism, gingival hyperplasia, constipation, dizziness, and drowsiness",
Insulin Glargine (rDNA origin),"Lantus®, Toujeo®, Basaglar®",Antidiabetic,Type 1 diabetes mellitus or Type 2 diabetes mellitus,,100 units/mL,Insulin promotes transport of glucose across cell membranes and facilitates transformation of amino acids into proteins,Dosing must be individualized; start on 10 units per day if T2DM and insulin naÃ¯ve,"Hypoglycemia, pain at injection site, rash, edema, pruritus, bronchospasm, hypotension, or shock",
Empagliflozin,Jardiance®,Antidiabetic,Type 2 diabetes mellitus,"Reduce risk of CV death in adults with T2DM and established CV disease, reduce the risk of cardiovascular death and hospitalizations in adults with heart failure","10 mg, 25 mg",Inhibits sodium-glucose co-transporter-2 (SGLT2i),Starting dose: 10 mg PO QAM; Maximum dose: 25 mg PO QAM,"Urinary tract infections, genital mycotic infections, increased urination, dyslipidemia, discomfort with urination, and ketoacidosis",
Triamterene with Hydrochlorothiazide,"Dyazide®, Maxzide®",Diuretic,Adjunctive therapy in edema associated with congestive heart failure,Hypertension,Dyazide (capsule) 37.25 mg/25 mg; Maxzide-25 (tablet): 37.5 mg/25 mg; Maxzide (tablet) 75 mg/50 mg,Triamterene: inhibits reabsorption of sodium in exchange for potassium at distal renal tubule; Hydrochlorothiazide: inhibits reabsorption of sodium and chloride at distal renal tubule,One to two doses PO BID,"Dry mouth, muscle cramps, nausea, vomiting, weakness, dizziness, orthostatic hypotension, GI distress including diarrhea and constipation, hyperglycemia, photosensitivity, impotence, rash, and transient blurred vision",Hyperkalemia
Sumatriptan Succinate,Imitrex„¢,Antimigrainous Agent,Migraine attacks with or without aura,Cluster headaches,"25 mg, 50 mg, 100 mg",Selective agonist for a vascular 5-hydroxytryptamine 1 receptor subtype,25 mg to 100 mg PO taken with fluids at first sign of migraine attack,"Abnormal sensations including tingling, warmth, burning, feeling of heaviness, pressure, tightness, numbness, tight feeling in the head, flushing, tightness in the chest, bad taste, discomfort of the throat, nose, tongue, or mouth, muscle weakness, neck pain or stiffness, dizziness or vertigo, diarrhea, and drowsiness",
Digoxin,"Lanoxin®, Digitek®",Antiarrhythmic,"Atrial fibrillation, atrial flutter","Heart failure, paroxysmal atrial tachycardia","0.125 mg, 0.25 mg",Inhibits membrane bound Na+/K+ ATPase,0.125 mg to 0.5 mg PO QDay,"Anorexia, nausea, vomiting, gynecomastia, blurred vision, headache, and bradycardia",
Promethazine HCl with Codeine Phosphate,Phenergan® with Codeine,Antitussive,Temporary relief of coughs,Upper respiratory symptoms associated with allergies or common cold,Promethazine HCl 6.25 mg and 10 mg codeine phosphate with 7% alcohol,"Promethazine competitively inhibits histamine at H1 receptor site, Codeine depresses cough reflex center in medulla oblongata",One teaspoon (5 mL) Q4H to Q6H,"Drowsiness, constipation, nausea, vomiting, orthostatic hypotension, lightheadedness, and dizziness","Addiction, abuse, and misuse; Life-threatening respiratory depression; Accidental ingestion; Ultra-rapid metabolism of codeine and other risk factors for life-threatening respiratory depression in children; Respiratory depression in children; Risk of medication errors; Interactions with drugs affecting cytochrome P450 isoenzymes; Risks from concomitant use with benzodiazepines or other CNS depressants; Neonatal opioid withdrawal syndrome"
Desvenlafaxine,Pristiq®,Antidepressant,Major Depressive Disorder,,"25 mg, 50 mg, 100 mg",Potent inhibitor of neuronal serotonin and norepinephrine reuptake,"50 mg PO QDay, with or without food","Nausea, dry mouth, anorexia, constipation, drowsiness, insomnia, dizziness, sweating, erectile dysfunction, and decreased libido","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Lisinopril with Hydrochlorothiazide,"Zestoretic®, Prinzide®",Antihypertensive,Hypertension,,"10mg-12.5mg, 20mg-12.5mg, 20mg-25mg",Lisinopril: ACE-inhibitor; Hydrochlorothiazide: inhibits sodium and chloride reabsorption at distal renal tubule,One tablet PO QDay,"Nausea, dry mouth, anorexia, constipation, drowsiness, insomnia, dizziness, sweating, erectile dysfunction, and decreased libido",DO NOT USE DURING PREGNANCY.
Sildenafil Citrate,"Viagra®, Revatio®",Erectile Dysfunction Agent,Erectile dysfunction,Pulmonary Arterial Hypertension,"25 mg, 50 mg, 100 mg",PDE5 inhibitor,50 mg PO one hour before sexual activity,"Headache, flushing, dyspepsia, nasal congestion, urinary tract infection, abnormal vision, diarrhea, dizziness, and rash",
Fentanyl (transdermal),Duragesic®,Opioid Analgesic,Chronic pain,,25 mcg/hour,Mu-opioid receptor agonist,One patch applied topically and replaced every 72 hours,"Hypoventilation, hypotension, hypertension, abdominal pain, headache, nausea, vomiting, constipation, dry mouth, anorexia, diarrhea, dyspepsia, somnolence, confusion, asthenia, dizziness nervousness, hallucinations, anxiety, depression, euphoria, dyspnea, apnea, sweating, pruritus, and urinary retention","OPIOIDS CAN BE ADDICTIVE, ABUSED, AND MISUSED, WHICH CAN LEAD TO OVERDOSE AND DEATH. SERIOUS, LIFE-THREATENING RESPIRATORY DEPRESSION MAY OCCUR. ACCIDENTAL EXPOSURE CAN BE FATAL, ESPECIALLY IN CHILDREN. HEAT FROM EXTERNAL SOURCES CAN INCREASE SYSTEMIC ABSORPTION. CONCOMITANT USE WITH CYP3A4 INHIBITORS, BENZODIAZEPINES, ALCOHOL, OR OTHER CNS DEPRESSANTS CAN RESULT IN RESPIRATORY DEPRESSION, COMA, AND DEATH."
Levofloxacin,Levaquin®,Antibiotic,Community acquired pneumonia,"Skin and structure infections, complicated urinary tract infections, acute pyelonephritis","250 mg, 500 mg, 750 mg","Inhibits enzyme DNA gyrase, preventing synthesis of bacterial DNA",500 mg PO Q24H for 7 days,"Nausea, diarrhea, headache, constipation, and taste perversion. Risk of tendinitis and tendon rupture in patients, especially the elderly, in patients taking corticosteroids, and in kidney, heart, or lung transplant recipients","FLUOROQUINOLONES MAY CAUSE SERIOUS ADVERSE REACTIONS, INCLUDING TENDINITIS, TENDON RUPTURE, PERIPHERAL NEUROPATHY, CENTRAL NERVOUS SYSTEM EFFECTS, AND EXACERBATION OF MYASTHENIA GRAVIS."
Ropinirole Hydrochloride,Requip® (XL),Antiparkinson Agent,Idiopathic Parkinson's disease,,"0.25 mg, 0.5 mg, 1 mg, 2 mg, 3 mg, 4 mg, 5 mg",Non-ergoline dopamine agonist with full intrinsic activity at D2 and D3 receptor subtypes,0.5 mg to 5 mg PO TID,"Nausea, dizziness, somnolence, syncope, fatigue, dyspepsia, and viral infections. Other adverse effects include general pain, leg edema, increased sweating, asthenia, abdominal pain, pharyngitis, abnormal vision, confusion, hallucinations, hypertension, dry mouth, urinary tract infection, rhinitis, sinusitis, anorexia, hyperesthesia, flushing, malaise, flatulence, palpitations, amnesia, impotence, dyspnea, and eye abnormality",
